,Short,Long,Rating
0,Slightly disappointed,Not good.... Just average,3
1,Not Good in Connectivity,"Poor Bluetooth Connectivity. (may be bcz V 4.2)
Need Firmware Update immediately.",3
2,Not good,Call alert is very slow and bluetooth connectivity is very poor,3
3,Bad quality,Heart beat sensor are not working,3
4,Slightly disappointed,Not that much effective,3
5,Expected a better product,"Failed to give call alert frequently, the boat pro app needs to be visited again and again then it gives call alert otherwise the call alerts are not coming to the watch not as expected in quality",3
6,Moderate,"A basic watch to count your steps. The other measurements are not so accurate. Built quality is ok you have to get a screen guard and still be careful. Battery backup is good have spent 9 days already with morning walks, sleep monitoring, automatic heart rate, 5-6 SpO2 3-4 BP checks with minimal screen time and I still have 22 % battery left. Only 4 watch faces that too are not that attractive. More watch faces were promised via OTA update but not received yet. The price is very attractive and features are on par with price. There is no silent call only reject call. Because of BT 4.2 range is limited if you compare to BT 5. Font used is very basic so notifications are just functional. More work needs to be done on Boat Pro gear app which has a couple of years to catch-up with other watch apps. Boat is new into software so far they have only worked on hardware products. So in all if you are price sensitive and want a smart watch that works this could be your choice.",3
7,Bad quality,Don't expect more: Display was not good... connectivity time is more...Mi band 5 is far better.,3
8,Moderate,Bluetooth connectivity problem,3
9,Moderate,Call alert and call receiving miss,3
10,Moderate,Nice product,3
11,Expected a better product,Screen on time is slow and notifications are not coming on boAt watch while i sended to my other phone and calls are not showing in boAt watch. I cheaked all settings properly but not working. 😠,3
12,Expected a better product,"It's ok, dial is average....",3
13,Does the job,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Cons:
1. Tracking activities is slightly inaccurate. Sometimes the inaccuracy is exponentially way off.
2. The screen flashes before lighting up. And there is solid 1 & half second delay.
3. boAt claimed that they will add watch faces, 3+ months has passed and they haven't added any single watch face, instead they removed 1 watch face. In their Pre-launch advertise, they claimed 100+ watch faces will be added, but now they advertise upto 20.
4. I have had issues upgrading my watch and contacted their support. Even after 2 weeks they haven't updated me yet.
5. The UI isn't fluid.
6.Connecting to phone can be hesitating sometimes.
7. The only accurate sensor is heart rate monitor. Blood Oxygen Monitor, Blood pressure monitor doesn't give accurate readings and they are way off the limits.
8. Notifications are good feature but it doesn't show full notification if the text is too long.

Final thoughts: Given the price, and all the cons, it's an ""okay"" device for the people whom are new to smart watches. If you exercise daily, it can be use to get overview of your activity, with slight inaccuracy.",3
14,Good,"Don't expect surprises, it's best for the price only. Screen size is too small, strap quality is average, UI is not so smooth, battery capacity need to check on the go. What I didn't like most will be the screen - both quality as well as size. I bought this cos ot has BP, spo2 and heart rate monitors.",3
15,Nice,"Hi all...this is my first review in flipkart and basically I don't what to do the same..but now I am disclosing my views is that how really the watch works.

Cons:

The below views are after the updation of the app to the latest version.
1. Poor response for the notifications even we set 1 sec delay for notifications in the app
2. The heart rate monitor and blood pressure monitor is not that much accurate we can't do anything from the values displayed. So this features are almost unnecessary since it's purpose is not meet out.
3. Whatsapp notifications are not coming even we select the whatsapp tab in the app
4. Watch face from mobile album is not at all working even for cloud based watch face.
5. You advertised full screen touch but almost 20 percent of screen is not usable.

Pros:

1. Aesthetically very good and looks like a smart watch
2. Touch is smooth
3. Wrap material also seems good for this price range
4. No heating issues
5. Delivered 3 days before the committed date",3
16,Decent product,"Pros - very gud looking, stylish, screen touch also fine & smooth working, battery backup also very well going, strap quality best , sensors works good.

Cons - vibration quality not upto the mark as i felt as compared to mi band (i used). , heart rate measurement fluctuating always & the fluctuation digits reading for 2-3 times is not nearby accurate reading. And the main issue i checked, it looses the connection from the app boat progear automatically anytime , you have to checkin into the watch always that - is it connected or not

Development team has to take a look into app, why this connection issue happens",3
17,Does the job,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this price. At least better than Noise.",3
18,Does the job,"Some of functions needs to be upgraded, hoat pro gear app is the only way to operate the functions. It does not support google Wear OS app. Most important, the available dail looks are just ordinary not so cool. Watching time function is not user friendly. Touch is good but dial looks small. Bluetooth range is also a constraint. Can be much better",3
